,date,meant
0,19020101,20.1
1,19020201,14
2,19020301,13.4
3,19020401,17.9
4,19020501,25.6
5,19020601,25
6,19020701,28.8
7,19020801,29.6
8,19020901,28.2
9,19021001,27.3
10,19021101,22
11,19021201,21.7
12,19020102,20
13,19020202,9.5
14,19020302,14.7
15,19020402,19.1
16,19020502,26.9
17,19020602,25.8
18,19020702,28.7
19,19020802,30.8
20,19020902,27.4
21,19021002,28
22,19021102,19.5
23,19021202,15.2
24,19020103,20.9
25,19020203,4.4
26,19020303,13.9
27,19020403,20
28,19020503,26.6
29,19020603,25.6
30,19020703,27.1
31,19020803,31.8
32,19020903,28.2
33,19021003,29.2
34,19021103,21.6
35,19021203,13.2
36,19020104,22.6
37,19020204,2.6
38,19020304,12.8
39,19020404,19.7
40,19020504,23.4
41,19020604,25.1
42,19020704,26.2
43,19020804,28.6
44,19020904,28.5
45,19021004,30.1
46,19021104,23.2
47,19021204,13.9
48,19020105,20.9
49,19020205,5.5
50,19020305,14
51,19020405,19.6
52,19020505,23.8
53,19020605,24.9
54,19020705,26.5
55,19020805,26
56,19020905,28.9
57,19021005,28.1
58,19021105,23.7
59,19021205,14.4
60,19020106,17.6
61,19020206,8.5
62,19020306,17.4
63,19020406,20.4
64,19020506,24.5
65,19020606,26
66,19020706,27
67,19020806,28.8
68,19020906,28.9
69,19021006,27
70,19021106,24.2
71,19021206,15.6
72,19020107,16.7
73,19020207,11
74,19020307,18.5
75,19020407,19.9
76,19020507,25.8
77,19020607,27.1
78,19020707,27.4
79,19020807,29.2
80,19020907,29.6
81,19021007,27.1
82,19021107,25
83,19021207,16.8
84,19020108,16.7
85,19020208,13.6
86,19020308,16.1
87,19020408,17.6
88,19020508,23.7
89,19020608,25.9
90,19020708,27.8
91,19020808,29.1
92,19020908,30.4
93,19021008,28.5
94,19021108,24.7
95,19021208,17.7
96,19020109,16.8
97,19020209,15.4
98,19020309,17.9
99,19020409,18.5
100,19020509,26.2
101,19020609,25.4
102,19020709,27.8
103,19020809,28.8
104,19020909,28.5
105,19021009,26.9
106,19021109,24
107,19021209,18.9
108,19020110,19
109,19020210,9.9
110,19020310,20
111,19020410,19.2
112,19020510,24.8
113,19020610,26.1
114,19020710,28.3
115,19020810,28
116,19020910,28.1
117,19021010,27.8
118,19021110,24.7
119,19021210,20.1
120,19020111,17
121,19020211,10.2
122,19020311,17.6
123,19020411,18.4
124,19020511,22.6
125,19020611,26.2
126,19020711,27.9
127,19020811,28.1
128,19020911,26.6
129,19021011,28.6
130,19021111,24.3
131,19021211,19.6
132,19020112,16
133,19020212,7.5
134,19020312,15.3
135,19020412,19.1
136,19020512,19.6
137,19020612,27.4
138,19020712,28.4
139,19020812,27.4
140,19020912,28
141,19021012,29.3
142,19021112,21.6
143,19021212,20.2
144,19020113,16.1
145,19020213,9.1
146,19020313,14.6
147,19020413,20.2
148,19020513,22.1
149,19020613,28.6
150,19020713,27.6
151,19020813,26.9
152,19020913,28.2
153,19021013,29.7
154,19021113,22.8
155,19021213,18
156,19020114,18.5
157,19020214,11.3
158,19020314,15.9
159,19020414,21.8
160,19020514,22.2
161,19020614,28.6
162,19020714,27.6
163,19020814,26.6
164,19020914,30
165,19021014,27.3
166,19021114,23.6
167,19021214,20.1
168,19020115,19.2
169,19020215,11.9
170,19020315,17.6
171,19020415,22.6
172,19020515,22.8
173,19020615,27.4
174,19020715,27.8
175,19020815,27.2
176,19020915,28.9
177,19021015,26.8
178,19021115,22.2
179,19021215,20.6
180,19020116,21.7
181,19020216,12.9
182,19020316,16.2
183,19020416,21.4
184,19020516,24.4
185,19020616,28
186,19020716,27.6
187,19020816,27.3
188,19020916,29.1
189,19021016,24.8
190,19021116,19.9
191,19021216,19.6
192,19020117,19.9
193,19020217,12.6
194,19020317,14.8
195,19020417,20.5
196,19020517,24.8
197,19020617,28.4
198,19020717,27.9
199,19020817,27.2
200,19020917,29.2
201,19021017,22.4
202,19021117,21.6
203,19021217,18.7
204,19020118,14.1
205,19020218,11.3
206,19020318,15.5
207,19020418,22.6
208,19020518,23.9
209,19020618,28.5
210,19020718,28
211,19020818,26.5
212,19020918,28.6
213,19021018,22.1
214,19021118,23.6
215,19021218,18.8
216,19020119,15.9
217,19020219,12.9
218,19020319,16.1
219,19020419,24.9
220,19020519,24.2
221,19020619,28.9
222,19020719,28.8
223,19020819,27.5
224,19020919,29.5
225,19021019,23.9
226,19021119,21.7
227,19021219,16.1
228,19020120,19.7
229,19020220,13.1
230,19020320,18.7
231,19020420,25.2
232,19020520,25.5
233,19020620,28.6
234,19020720,29.3
235,19020820,28.2
236,19020920,29.9
237,19021020,25.2
238,19021120,19.6
239,19021220,15.5
240,19020121,21.5
241,19020221,11.8
242,19020321,19.4
243,19020421,25.6
244,19020521,26.7
245,19020621,28.5
246,19020721,29.6
247,19020821,28.8
248,19020921,30
249,19021021,25.8
250,19021121,20.5
251,19021221,15.9
252,19020122,21.1
253,19020222,12.4
254,19020322,18.9
255,19020422,26.1
256,19020522,27.3
257,19020622,28.6
258,19020722,29.9
259,19020822,28.9
260,19020922,27.6
261,19021022,26.1
262,19021122,21.9
263,19021222,18.1
264,19020123,20.9
265,19020223,11.5
266,19020323,18.4
267,19020423,25.9
268,19020523,26.3
269,19020623,28.3
270,19020723,30.1
271,19020823,30
272,19020923,28.4
273,19021023,27.7
274,19021123,22
275,19021223,18.6
276,19020124,19.4
277,19020224,13.3
278,19020324,17.4
279,19020424,26.6
280,19020524,27.9
281,19020624,28.2
282,19020724,30.3
283,19020824,30.4
284,19020924,28.9
285,19021024,27.2
286,19021124,21.5
287,19021224,18.9
288,19020125,17
289,19020225,13.6
290,19020325,18.1
291,19020425,26.3
292,19020525,28.2
293,19020625,27.6
294,19020725,29.7
295,19020825,31.3
296,19020925,29.1
297,19021025,25.9
298,19021125,21.3
299,19021225,18.9
300,19020126,17.7
301,19020226,13.3
302,19020326,19.3
303,19020426,23.5
304,19020526,27.6
305,19020626,28.1
306,19020726,28.9
307,19020826,29.2
308,19020926,28.6
309,19021026,25.6
310,19021126,20.6
311,19021226,15.4
312,19020127,18.5
313,19020227,15.8
314,19020327,20.5
315,19020427,22.6
316,19020527,25.6
317,19020627,28.5
318,19020727,29.1
319,19020827,29.9
320,19020927,27.8
321,19021027,23
322,19021127,21.8
323,19021227,14.1
324,19020128,19.8
325,19020228,13.7
326,19020328,21.2
327,19020428,23.6
328,19020528,25.6
329,19020628,28
330,19020728,29.1
331,19020828,31
332,19020928,29.7
333,19021028,23.3
334,19021128,21.5
335,19021228,15.5
336,19020129,20.5
337,19020229,-999
338,19020329,19.7
339,19020429,23.6
340,19020529,25.3
341,19020629,28.3
342,19020729,29.9
343,19020829,28.3
344,19020929,28.5
345,19021029,23.6
346,19021129,18.4
347,19021229,13.3
348,19020130,17.6
349,19020230,-999
350,19020330,17.6
351,19020430,24.1
352,19020530,25.8
353,19020630,28.5
354,19020730,29.1
355,19020830,28.6
356,19020930,27.8
357,19021030,24.2
358,19021130,18.2
359,19021230,13.3
360,19020131,19.5
361,19020231,-999
362,19020331,18.2
363,19020431,-999
364,19020531,25
365,19020631,-999
366,19020731,29.5
367,19020831,29.4
368,19020931,-999
369,19021031,23.9
370,19021131,-999
371,19021231,13.5
372,19030101,11.4
373,19030201,12.3
374,19030301,22.6
375,19030401,20.7
376,19030501,26.9
377,19030601,23.6
378,19030701,27
379,19030801,30.4
380,19030901,28.4
381,19031001,27.5
382,19031101,22
383,19031201,22.3
384,19030102,13.6
385,19030202,9
386,19030302,19
387,19030402,24.3
388,19030502,28.5
389,19030602,24.1
390,19030702,28.6
391,19030802,28.7
392,19030902,28.4
393,19031002,27.7
394,19031102,24
395,19031202,24.5
396,19030103,14.7
397,19030203,8.5
398,19030303,20.6
399,19030403,21.5
400,19030503,27.8
401,19030603,25.6
402,19030703,28.4
403,19030803,26.1
404,19030903,29.5
405,19031003,27.9
406,19031103,24.7
407,19031203,24.4
408,19030104,16.8
409,19030204,9
410,19030304,16.8
411,19030404,22.1
412,19030504,27.9
413,19030604,27.6
414,19030704,29.4
415,19030804,28.2
416,19030904,30.2
417,19031004,28.1
418,19031104,19.9
419,19031204,24
420,19030105,18.4
421,19030205,13
422,19030305,12.9
423,19030405,22.6
424,19030505,29.1
425,19030605,28.7
426,19030705,29.4
427,19030805,29.1
428,19030905,30
429,19031005,27.6
430,19031105,19.2
431,19031205,22.6
432,19030106,18.6
433,19030206,14.6
434,19030306,14.7
435,19030406,23.4
436,19030506,28.8
437,19030606,30.2
438,19030706,28.9
439,19030806,29.4
440,19030906,29.5
441,19031006,25.8
442,19031106,20.9
443,19031206,18.3
444,19030107,19.1
445,19030207,15.4
446,19030307,19
447,19030407,23.9
448,19030507,30
449,19030607,27.7
450,19030707,28.8
451,19030807,30.7
452,19030907,29.7
453,19031007,27.3
454,19031107,21.1
455,19031207,14.3
456,19030108,18.8
457,19030208,15.7
458,19030308,21.3
459,19030408,26.3
460,19030508,27.1
461,19030608,26.1
462,19030708,29.5
463,19030808,28.5
464,19030908,30.1
465,19031008,27.2
466,19031108,21.8
467,19031208,18.5
468,19030109,18.1
469,19030209,16.1
470,19030309,22.8
471,19030409,27
472,19030509,28.1
473,19030609,26.6
474,19030709,29.4
475,19030809,30
476,19030909,28.9
477,19031009,26.6
478,19031109,23
479,19031209,16.4
480,19030110,19.1
481,19030210,17
482,19030310,21.1
483,19030410,21.8
484,19030510,28.9
485,19030610,27.4
486,19030710,29.2
487,19030810,27.4
488,19030910,27.8
489,19031010,26.9
490,19031110,21.6
491,19031210,18.7
492,19030111,18.5
493,19030211,16.7
494,19030311,19.4
495,19030411,16.7
496,19030511,24.5
497,19030611,25.8
498,19030711,28.7
499,19030811,27.6
500,19030911,28
501,19031011,24.3
502,19031111,20
503,19031211,20.8
504,19030112,19.9
505,19030212,16.7
506,19030312,21
507,19030412,15.3
508,19030512,23.9
509,19030612,26
510,19030712,27
511,19030812,26
512,19030912,29.6
513,19031012,24.3
514,19031112,19.9
515,19031212,17.1
516,19030113,20.6
517,19030213,17.3
518,19030313,22.9
